# Official results - the 37th PZU Warsaw Marathon (2015)
# Source: https://pzumaratonwarszawski.com/en/aktualnosci/official-results/
# `mins` gives the gun time in minutes
sex,country,category,mins
M,PL,M30,210.92
M,PL,M20,211.23
M,PL,M50,210.53
M,PL,M30,210.52
M,PL,M50,211.57
M,PL,M40,210.28
F,PL,F30,210.68
M,PL,M40,211.1
M,PL,M30,210.9
M,PL,M30,211.68
M,PL,M30,210.67
M,PL,M30,211.38
M,PL,M30,210.87
M,PL,M40,212.32
M,PL,M30,210.3
M,PL,M40,212.22
M,PL,M40,211.1
M,PL,M40,211.1
M,PL,M40,210.67
M,DE,M40,209.98
M,PL,M30,211.57
M,PL,M30,210.78
M,PL,M20,211.33
M,PL,M30,211.47
M,PL,M30,211.5
M,PL,M30,210.55
M,PL,M40,210.63
M,PL,M40,211.5
M,PL,M30,215.43
F,PL,F30,211.8
M,PL,M30,210.8
M,PL,M30,211.02
M,PL,M40,213.15
M,PL,M40,210.87
M,PL,M40,210.92
M,PL,M40,210.27
M,PL,M30,211.0
M,PL,M30,211.52
M,PL,M50,212.27
M,PL,M50,210.82
M,PL,M40,211.98
M,PL,M30,212.48
M,PL,M40,211.43
M,PL,M40,211.95
M,PL,M50,212.55
M,PL,M40,211.83
M,PL,M30,211.65
M,PL,M20,212.62
M,US,M40,212.02
M,EE,M40,212.75
M,PL,M40,211.78
M,PL,M30,211.0
M,PL,M30,212.25
M,PL,M40,210.88
M,PL,M30,210.9
M,PL,M30,213.47
M,PL,M30,211.72
M,PL,M30,211.7
M,PL,M20,212.18
M,PL,M20,212.27
M,SK,M70,211.48
M,PL,M20,211.52
M,FI,M40,212.2
M,PL,M30,211.5
F,PL,F30,213.27
M,PL,M30,212.9
M,PL,M20,212.42
M,PL,M40,212.4
M,PL,M40,212.23
M,PL,M20,212.48
M,PL,M30,212.4
M,DK,M40,211.87
F,PL,F30,212.37
M,PL,M50,212.72
M,PL,M40,211.87
M,PL,M20,211.43
F,PL,F30,212.72
M,RU,M20,212.4
M,PL,M20,212.82
M,PL,M30,212.7
M,PL,M40,213.07
M,PL,M40,214.1
M,PL,M40,213.03
M,PL,M30,212.8
M,PL,M30,212.15
M,PL,M40,212.02
M,PL,M20,213.58
M,PL,M20,212.43
M,PL,M30,212.78
M,PL,M30,213.0
M,PL,M30,212.18
M,PL,M30,213.07
F,PL,F30,212.55
M,PL,M40,212.8
M,LT,M40,212.07
M,PL,M30,213.38
M,PL,M30,213.27
M,PL,M30,212.1
M,PL,M30,212.33
M,JP,M50,212.45
M,PL,M30,213.1
M,PL,M30,213.17
M,PL,M30,220.95
F,PL,F20,212.47
M,SE,M20,213.97
M,PL,M40,212.98
M,PL,M40,213.43
M,PL,M20,217.52
M,PL,M40,212.62
M,PL,M20,212.22
M,PL,M40,213.27
M,PL,M20,213.23
M,PL,M30,213.23
M,PL,M40,213.35
M,PL,M30,213.28
F,PL,F30,213.23
M,PL,M40,213.52
M,PL,M40,213.68
M,PL,M40,212.6
M,PL,M30,213.93
M,PL,M40,213.65
M,PL,M40,216.12
M,PL,M40,213.48
M,PL,M30,214.05
F,PL,F30,214.1
M,PL,M30,212.63
M,PL,M30,214.35
M,PL,M30,213.67
M,PL,M40,215.53
M,PL,M50,214.05
M,PL,M40,213.13
M,PL,M20,216.13
M,NL,M40,213.65
M,PL,M30,214.37
M,PL,M20,214.17
M,PL,M30,213.82
M,PL,M20,213.42
M,PL,M40,214.07
M,PL,M50,213.12
F,PL,F30,213.78
M,PL,M30,213.65
M,PL,M30,213.63
M,PL,M50,213.45
M,GB,M20,214.23
M,PL,M40,215.47
M,PL,M40,214.47
M,PL,M30,214.57
M,PL,M30,213.9
F,PL,F40,213.87
M,PL,M30,215.0
M,PL,M40,213.88
M,PL,M40,215.88
M,PL,M30,214.13
M,PL,M40,212.72
M,LV,M40,213.27
M,PL,M30,214.52
F,PL,F30,213.53
M,PL,M40,213.52
M,PL,M30,215.45
M,PL,M20,213.33
M,PL,M40,213.6
M,PL,M40,213.78
M,PL,M30,214.43
M,PL,M30,214.15
M,PL,M50,215.43
M,PL,M30,217.2
M,PL,M30,213.42
M,PL,M30,214.28
M,PL,M40,214.53
M,PL,M30,213.55
M,PL,M40,213.42
M,PL,M40,213.6
M,PL,M40,214.38
M,PL,M30,217.95
M,IT,M30,214.0
M,PL,M30,213.5
M,PL,M20,214.38
M,PL,M30,213.52
F,PL,F20,214.47
M,PL,M50,220.82
M,PL,M40,214.03
M,PL,M20,214.85
M,PL,M40,216.47
M,PL,M40,214.03
M,PL,M20,215.07
M,PL,M30,214.57
M,PL,M30,214.55
M,PL,M30,213.77
M,PL,M40,215.17
M,PL,M40,216.37
M,PL,M40,215.77
M,PL,M60,222.85
M,PL,M40,215.12
M,PL,M30,215.53
M,PL,M40,214.28
M,PL,M30,214.88
M,PL,M40,215.4
M,PL,M30,214.18
M,PL,M40,214.4
M,PL,M40,215.8
M,PL,M30,214.62
M,PL,M20,215.2
M,PL,M40,215.47
M,PL,M30,215.58
M,AT,M20,214.03
M,PL,M30,215.72
M,PL,M40,214.33
M,PL,M30,216.82
M,PL,M20,216.38
M,PL,M30,216.67
M,PL,M30,217.08
F,PL,F20,220.75
M,PL,M40,215.27
M,DE,M40,215.43
M,PL,M20,215.38
M,PL,M30,215.4
M,PL,M40,215.68
M,PL,M40,214.47
M,PL,M40,215.57
M,PL,M30,215.82
M,PL,M40,215.82
M,PL,M40,216.78
F,PL,F30,216.0
M,PL,M40,214.95
M,PL,M20,215.35
M,PL,M20,217.52
M,PL,M50,215.73
M,PL,M30,215.3
M,PL,M30,216.25
M,PL,M30,216.55
M,PL,M30,216.18
M,PL,M30,215.97
M,PL,M40,215.35
M,FI,M40,215.65
M,PL,M20,215.93
M,PL,M50,215.93
M,PL,M30,215.8
M,PL,M20,216.32
M,PL,M20,216.17
M,PL,M40,216.22
M,PL,M30,215.95
F,GR,F30,216.33
M,PL,M30,215.88
M,PL,M30,215.32
M,PL,M30,216.32
M,PL,M40,216.38
M,PL,M40,215.8
M,PL,M20,216.18
M,PL,M40,216.62
M,PL,M40,216.52
M,IT,M40,216.53
M,PL,M30,216.52
M,PL,M30,216.23
M,PL,M40,216.57
M,PL,M30,216.93
M,SE,M50,219.53
M,PL,M50,216.05
M,PL,M30,217.25
M,PL,M30,215.75
M,PL,M30,217.05
M,PL,M30,215.63
M,PL,M30,216.15
M,PL,M30,216.93
M,PL,M30,216.83
M,PL,M40,219.73
F,PL,F20,216.33
M,PL,M30,218.23
F,PL,F20,216.47
M,PL,M20,216.3
M,PL,M40,217.62
M,PL,M50,216.38
M,US,M40,215.73
M,PL,M30,217.42
F,PL,F40,220.3
M,PL,M30,219.42
M,PL,M30,217.1
M,PL,M30,217.77
F,PL,F30,216.85
F,PL,F20,216.47
M,PL,M30,216.2
M,PL,M20,216.43
M,PL,M30,218.13
M,PL,M30,216.65
M,PL,M50,216.37
M,PL,M30,217.55
M,PL,M20,217.12
M,PL,M40,216.07
M,PL,M30,215.53
M,PL,M30,216.57
F,PL,F20,218.92
M,PL,M30,217.2
M,PL,M30,217.0
F,PL,F30,216.73
M,PL,M30,216.73
M,PL,M30,216.17
M,NL,M20,218.4
F,BE,F30,219.57
M,PL,M30,217.25
M,PL,M30,218.07
M,PL,M40,216.43
M,PL,M40,216.53
M,PL,M20,216.88
M,DE,M50,219.2
M,PL,M40,219.65
M,PL,M30,217.43
M,PL,M30,217.78
M,PL,M30,216.67
M,PL,M50,216.52
M,PL,M30,216.52
M,PL,M20,216.63
M,PL,M30,217.42
M,PL,M40,216.35
M,PL,M20,220.95
M,PL,M30,221.47
M,PL,M30,216.37
M,PL,M30,217.32
M,PL,M20,216.57
M,PL,M50,216.48
M,PL,M40,218.52
M,PL,M20,217.38
M,PL,M30,216.73
M,PL,M40,218.38
M,PL,M40,220.55
M,PL,M30,218.05
M,PL,M20,217.2
M,PL,M30,218.2
M,PL,M40,218.33
F,PL,F40,218.07
M,PL,M40,217.9
M,PL,M50,218.15
M,DE,M60,217.2
M,PL,M40,218.03
M,PL,M50,216.92
M,PL,M20,218.82
M,PL,M40,218.97
M,PL,M40,218.38
M,PL,M50,217.9
M,PL,M30,218.65
M,DE,M20,221.6
M,PL,M30,218.15
M,PL,M30,220.77
M,PL,M30,219.55
M,US,M30,218.65
M,PL,M30,218.45
M,PL,M20,217.17
M,IT,M40,218.9
M,PL,M20,217.35
M,PL,M40,218.42
M,PL,M30,218.22
M,PL,M40,218.57
M,PL,M40,218.57
M,PL,M30,218.52
M,PL,M30,217.85
M,PL,M30,218.0
M,PL,M50,219.15
M,PL,M30,218.78
M,UA,M30,219.08
M,PL,M30,217.95
M,PL,M30,218.95
F,PL,F50,217.5
M,PL,M40,217.93
M,PL,M40,221.67
F,PL,F40,218.23
M,PL,M40,219.15
M,PL,M30,218.45
M,PL,M30,218.63
M,PL,M50,218.83
F,PL,F20,217.82
M,PL,M30,217.82
M,PL,M30,218.85
M,PL,M50,218.38
M,PL,M30,218.57
M,PL,M40,219.02
M,PL,M30,218.35
M,PL,M40,217.83
M,GB,M30,218.52
M,PL,M40,219.78
M,PL,M40,217.32
M,PL,M30,219.15
M,PL,M40,219.7
M,BY,M20,218.1
M,PL,M30,219.32
M,PL,M40,219.57
M,PL,M30,218.27
M,PL,M50,219.0
M,PL,M30,222.57
M,PL,M30,218.15
M,US,M20,218.15
M,PL,M20,218.95
F,PL,F30,219.25
M,PL,M20,220.08
M,PL,M40,218.77
M,PL,M40,219.5
M,PL,M20,219.97
M,PL,M50,218.02
M,PL,M30,220.0
M,PL,M40,219.37
M,PL,M30,220.15
M,PL,M30,218.77
M,PL,M20,218.78
M,PL,M40,218.1
M,PL,M20,221.37
M,PL,M20,219.18
M,PL,M30,219.8
M,PL,M40,219.12
M,PL,M40,218.78
F,PL,F30,219.75
F,PL,F20,219.07
M,PL,M40,219.43
M,DK,M40,218.65
M,PL,M20,219.08
M,PL,M20,221.37
M,PL,M20,220.22
M,NO,M20,218.65
M,PL,M40,219.75
M,BY,M40,219.38
M,PL,M30,219.72
M,PL,M30,223.7
M,PL,M30,220.75
M,PL,M30,219.6
M,PL,M20,220.25
M,PL,M40,218.5
M,PL,M30,218.75
M,PL,M40,218.88
M,PL,M30,219.98
M,PL,M20,219.35
M,PL,M40,220.52
M,PL,M40,220.28
M,PL,M20,219.95
M,PL,M20,219.48
M,PL,M30,219.72
M,PL,M40,220.68
M,PL,M30,220.17
M,PL,M20,219.8
M,PL,M30,219.18
M,PL,M40,227.33
M,PL,M30,220.0
F,PL,F40,221.15
M,PL,M30,219.43
M,FR,M20,218.98
M,PL,M30,220.48
M,PL,M20,219.13
M,PL,M40,220.03
M,PL,M30,224.55
M,PL,M30,219.6
M,PL,M40,220.55
M,PL,M30,218.7
F,PL,F20,221.23
M,FI,M50,219.03
M,PL,M40,221.08
M,PL,M40,219.92
M,PL,M30,220.35
M,PL,M40,223.38
F,PL,F30,219.15
M,PL,M30,221.17
M,PL,M50,219.27
M,PL,M20,219.72
M,PL,M50,221.12
M,PL,M30,220.88
M,PL,M30,220.98
M,PL,M30,223.48
M,PL,M30,221.25
M,PL,M30,221.18
M,PL,M30,220.6
M,PL,M30,220.25
M,PL,M30,221.25
M,PL,M20,222.6
M,PL,M30,220.38
M,PL,M30,219.93
M,PL,M40,220.6
M,PL,M20,221.78
M,PL,M30,221.22
M,PL,M50,221.25
M,PL,M30,219.5
F,GB,F20,220.4
F,PL,F20,221.1
M,PL,M30,219.48
M,PL,M40,219.65
M,PL,M30,221.15
M,PL,M30,220.75
M,PL,M30,220.58
M,PL,M30,220.72
M,PL,M20,221.37
M,PL,M30,220.75
F,NO,F20,221.07
M,PL,M20,219.48
M,PL,M40,221.17
M,PL,M30,222.13
F,PL,F20,220.4
M,PL,M30,220.22
F,PL,F20,221.17
M,PL,M40,221.57
M,PL,M20,221.03
M,PL,M30,221.13
M,PL,M50,226.95
M,PL,M40,221.63
M,PL,M30,219.47
M,PL,M30,220.0
F,PL,F30,221.92
M,PL,M20,221.22
M,PL,M30,220.3
M,PL,M50,221.7
M,PL,M30,221.75
M,PL,M20,220.03
M,PL,M40,220.98
M,PL,M30,221.5
M,PL,M40,221.68
M,PL,M40,221.27
M,PL,M30,219.82
M,PL,M40,221.08
M,PL,M30,221.92
M,PL,M40,222.1
M,PL,M40,221.12
M,PL,M20,221.88
M,PL,M30,220.8
M,PL,M50,221.92
M,PL,M20,221.08
M,PL,M30,221.05
M,PL,M30,221.65
M,PL,M30,223.95
M,PL,M40,222.58
M,PL,M40,221.63
M,PL,M40,220.8
M,PL,M40,221.53
M,PL,M30,221.25
M,SE,M20,222.73
M,PL,M30,221.45
M,PL,M30,221.85
M,PL,M30,223.57
M,PL,M40,221.5
F,PL,F30,221.67
M,PL,M40,224.95
F,PL,F30,221.6
M,PL,M30,221.83
M,PL,M40,221.45
M,PL,M40,221.47
M,PL,M50,221.8
M,PL,M20,221.78
M,PL,M40,221.52
M,PL,M20,220.73
M,FR,M40,221.97
F,PL,F30,221.2
M,PL,M30,220.85
M,PL,M40,221.88
M,PL,M20,220.78
M,PL,M30,221.78
F,PL,F30,221.78
M,PL,M40,221.02
M,PL,M20,223.62
M,PL,M40,221.97
M,PL,M40,222.0
M,PL,M30,220.73
M,PL,M30,221.55
M,PL,M30,222.48
M,PL,M50,223.3
M,PL,M40,222.98
M,PL,M40,223.55
F,PL,F30,221.2
M,PL,M30,221.37
F,PL,F40,221.77
M,PL,M30,222.25
M,PL,M40,221.53
M,PL,M40,221.62
M,PL,M50,224.8
M,PL,M40,221.93
M,PL,M30,221.95
M,PL,M40,221.72
M,PL,M40,222.2
M,PL,M20,221.37
F,PL,F30,222.2
M,PL,M30,222.93
M,GB,M40,221.03
M,PL,M40,221.72
M,PL,M30,221.83
M,PL,M20,222.52
M,PL,M30,222.97
F,PL,F20,222.92
M,PL,M40,222.08
M,PL,M30,224.35
M,PL,M30,221.93
M,PL,M60,221.98
M,PL,M30,221.95
M,KE,M30,222.6
M,PL,M40,222.62
M,PL,M50,224.82
M,PL,M20,221.97
M,PL,M20,221.92
M,PL,M30,222.58
M,PL,M50,220.85
M,PL,M30,221.95
M,PL,M30,221.73
M,PL,M20,222.1
M,PL,M40,225.55
M,PL,M30,220.92
M,PL,M20,223.82
M,PL,M40,222.75
M,PL,M30,223.05
M,PL,M30,220.93
M,PL,M40,223.43
M,PL,M30,222.08
M,PL,M40,223.18
M,PL,M50,221.13
M,PL,M20,223.8
M,PL,M30,221.83
M,PL,M30,221.98
M,PL,M30,221.77
M,PL,M30,226.2
M,PL,M40,222.43
M,PL,M40,221.95
M,PL,M40,221.82
M,PL,M30,223.37
F,PL,F40,222.28
M,PL,M30,221.68
M,PL,M30,222.3
M,PL,M40,223.42
M,PL,M30,223.17
M,PL,M30,222.68
M,PL,M40,224.03
M,PL,M40,222.23
M,PL,M40,223.07
M,PL,M50,222.0
M,PL,M40,223.42
F,PL,F30,222.52
M,PL,M40,223.52
M,PL,M40,223.42
M,PL,M40,221.6
M,PL,M20,222.72
M,PL,M40,222.55
M,PL,M20,221.82
M,PL,M40,221.88
M,PL,M20,222.88
M,PL,M20,221.82
M,PL,M50,223.35
M,PL,M20,223.72
M,PL,M30,221.87
M,PL,M30,228.47
M,PL,M40,221.32
M,PL,M40,223.77
M,PL,M20,225.88
M,DE,M40,224.25
M,PL,M20,224.18
M,PL,M40,224.33
M,PL,M30,223.37
M,PL,M30,223.25
M,LV,M30,222.47
M,PL,M40,222.2
M,PL,M30,222.0
F,PL,F30,223.25
M,PL,M30,227.88
M,PL,M30,224.32
M,PL,M50,223.7
M,PL,M30,222.02
M,PL,M30,223.02
M,PL,M40,224.32
F,PL,F30,224.13
M,PL,M30,224.12
M,PL,M50,222.72
M,PL,M40,223.83
M,PL,M40,223.17
M,PL,M30,225.15
M,PL,M40,224.53
M,PL,M30,223.48
F,PL,F30,224.62
M,PL,M20,222.18
M,PL,M20,223.53
M,PL,M40,223.68
M,PL,M20,223.08
M,PL,M30,222.85
M,PL,M20,223.87
M,PL,M40,224.33
M,PL,M30,224.62
M,PL,M20,222.47
F,PL,F40,224.0
M,PL,M20,226.8
M,PL,M40,224.03
M,PL,M30,224.9
M,PL,M40,224.1
M,PL,M20,226.8
M,PL,M20,224.15
F,PL,F30,224.57
F,PL,F30,224.37
M,PL,M30,224.77
F,PL,F30,224.23
M,PL,M30,224.68
M,PL,M50,227.98
M,PL,M50,224.73
M,PL,M30,224.83
M,DE,M40,224.77
M,PL,M40,226.57
M,PL,M30,225.08
M,PL,M40,223.88
M,PL,M30,222.85
M,PL,M40,223.12
M,PL,M20,222.97
M,PL,M30,226.98
M,PL,M30,225.47
M,PL,M30,224.63
M,PL,M40,225.43
M,PL,M30,223.75
M,PL,M30,224.67
M,PL,M40,224.88
M,PL,M40,225.25
M,PL,M40,223.07
M,PL,M30,223.97
M,PL,M30,223.97
M,PL,M40,226.13
M,PL,M50,226.93
M,PL,M30,224.97
M,PL,M30,224.93
M,US,M30,226.98
M,PL,M40,224.85
M,PL,M30,229.7
M,PL,M40,225.03
M,IT,M40,223.67
F,PL,F30,224.95
M,PL,M40,223.22
M,PL,M30,224.17
M,PL,M40,224.0
M,PL,M30,224.68
M,PL,M30,225.48
M,PL,M40,224.62
M,PL,M30,224.85
M,PL,M40,223.57
M,PL,M50,224.98
M,PL,M20,225.97
M,PL,M30,224.45
M,PL,M50,224.55
M,PL,M20,224.53
M,PL,M30,224.3
M,PL,M30,224.38
F,PL,F30,227.62
M,FI,M40,223.37
M,PL,M30,225.7
M,PL,M40,224.5
M,PL,M40,224.58
M,PL,M20,225.35
M,PL,M30,223.43
M,PL,M30,225.67
M,PL,M40,225.7
M,GB,M30,224.08
M,PL,M30,227.87
M,PL,M30,224.92
F,PL,F30,225.58
M,PL,M30,224.53
M,PL,M40,225.77
M,PL,M30,225.0
M,PL,M30,223.6
M,PL,M30,226.45
M,PL,M40,225.52
M,PL,M20,224.53
M,PL,M40,224.35
F,PL,F30,225.35
M,PL,M30,225.53
M,PL,M30,223.85
M,PL,M30,225.15
M,PL,M40,224.82
M,PL,M40,228.25
M,PL,M40,225.62
F,PL,F40,228.22
M,PL,M40,225.38
M,PL,M30,224.15
M,PL,M30,226.47
M,PL,M30,226.4
F,PL,F20,226.05
M,PL,M30,224.72
M,PL,M30,225.63
M,PL,M30,225.48
M,PL,M30,224.27
M,PL,M50,223.97
M,PL,M30,225.28
M,PL,M30,227.05
M,PL,M30,225.22
M,PL,M50,225.85
M,PL,M30,226.67
M,PL,M30,225.67
M,PL,M20,228.28
M,PL,M30,229.65
F,PL,F30,225.55
M,PL,M30,225.03
F,GB,F30,225.78
M,PL,M60,225.78
M,PL,M20,225.85
M,PL,M30,225.07
M,PL,M40,231.95
M,PL,M40,225.75
M,PL,M40,224.85
M,PL,M50,227.97
F,PL,F40,225.55
M,PL,M50,226.22
M,PL,M40,224.28
M,PL,M30,225.9
M,PL,M30,226.1
F,PL,F30,226.22
M,PL,M40,226.67
M,PL,M30,224.63
M,FR,M60,225.68
M,PL,M40,226.42
M,PL,M30,226.37
M,PL,M40,226.33
M,PL,M20,226.5
F,GB,F30,226.4
M,PL,M30,226.05
M,PL,M20,226.6
M,PL,M20,226.5
M,PL,M30,225.33
M,PL,M40,228.88
M,PL,M40,226.2
M,PL,M30,224.88
M,PL,M30,226.23
M,PL,M20,225.45
M,PL,M30,226.28
M,PL,M30,225.47
M,PL,M20,226.1
M,PL,M40,226.08
M,PL,M30,225.72
M,PL,M30,226.02
M,PL,M30,225.82
M,PL,M40,226.68
M,PL,M30,226.77
F,PL,F30,226.5
F,FI,F60,224.7
M,PL,M40,226.12
M,PL,M30,224.72
M,PL,M50,224.37
M,PL,M40,227.28
M,PL,M40,226.62
M,PL,M20,227.28
M,PL,M20,224.62
M,PL,M20,226.93
M,PL,M20,226.9
M,PL,M30,226.75
F,PL,F40,226.63
M,PL,M30,226.75
F,PL,F30,226.33
M,PL,M30,226.95
M,PL,M40,225.63
M,PL,M20,226.4
F,PL,F30,225.13
M,PL,M30,227.37
M,PL,M40,224.4
M,PL,M30,225.9
M,PL,M30,229.52
F,PL,F40,226.42
M,PL,M30,225.2
M,PL,M50,227.1
M,PL,M50,225.87
M,PL,M40,228.42
M,PL,M40,225.65
M,PL,M20,225.87
F,PL,F20,227.93
M,PL,M50,227.15
M,PL,M40,227.93
M,PL,M30,227.15
M,PL,M40,224.85
M,PL,M40,226.95
M,PL,M40,226.47
M,PL,M30,225.0
F,PL,F30,226.18
M,DE,M30,226.8
M,PL,M30,226.62
M,PL,M20,226.72
M,PL,M30,226.95
M,PL,M30,227.0
F,PL,F30,227.75
M,PL,M40,226.78
M,PL,M40,227.13
M,PL,M30,227.17
M,PL,M30,227.03
M,PL,M30,227.22
M,PL,M30,227.15
M,PL,M40,225.57
M,PL,M20,225.57
M,PL,M40,226.95
M,PL,M30,227.17
M,PL,M40,226.02
M,PL,M30,225.45
M,PL,M30,227.02
M,PL,M30,227.37
M,IL,M40,228.1
M,PL,M40,228.35
M,PL,M40,228.82
F,PL,F30,227.65
M,PL,M30,227.5
M,PL,M20,227.33
M,PL,M40,227.6
F,PL,F30,227.23
M,IL,M40,226.18
M,PL,M20,228.3
M,PL,M30,227.62
M,PL,M30,227.28
M,PL,M30,226.45
F,PL,F30,227.6
M,PL,M30,227.45
